,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
78,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,38.0,1.0,20181026020632.0,11077.0,17.0,0.004
79,4.0,12.5,0.0,-12.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,30.0,1.0,20181026020640.0,11077.0,17.0,0.004
80,4.0,12.5,0.0,-12.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,28.0,1.0,20181026020642.0,11077.0,17.0,0.004
81,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,28.0,1.0,20181026020643.0,11077.0,17.0,0.004
82,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,^,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,28.0,1.0,20181026020643.0,21077.0,17.0,0.004
83,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,28.0,1.0,20181026020648.0,11077.0,17.0,0.004
84,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,13.0,1.0,20181026020656.0,11077.0,17.0,0.004
85,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,6.0,0.0,20181026020703.0,11077.0,17.0,0.004
86,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,^,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,5.0,77.8,80.0,122,110,0,1,1.0,6.0,0.0,20181026020704.0,21086^11077,17.0,0.004
87,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,1:2,1.0,11.0,12.0,37.0,30.0,14.0,15.0,2,2,4,5.0,77.8,80.0,122,110,0,1,1.0,6.0,0.0,20181026020705.0,11078.0,17.0,0.004
