,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
95,2.0,-12.5,1.0,12.5,0.7692307692307693,140.5,0.8,140.5,0.9523809523809523,19.0,,9.0,8.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,67,0,1,4.0,48.0,1.0,20181110021042.0,11077.0,0.01,17.0
96,2.0,-12.5,1.0,12.5,0.7692307692307693,140.5,0.8,140.5,0.9523809523809523,19.0,,9.0,8.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,67,0,1,4.0,47.0,1.0,20181110021042.0,11077.0,0.01,17.0
97,2.0,-12.5,1.0,12.5,0.7692307692307693,139.5,0.9090909090909091,139.5,0.8333333333333334,19.0,,9.0,8.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,67,0,1,4.0,38.0,1.0,20181110021051.0,11077.0,0.006666666666666667,18.0
98,2.0,-11.5,0.9523809523809523,11.5,0.8,141.5,1.0,141.5,0.7692307692307693,19.0,^,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,37.0,1.0,20181110021053.0,11074^21077,0.0125,16.5
99,2.0,-11.5,0.9523809523809523,11.5,0.8,141.5,0.9523809523809523,141.5,0.8,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,35.0,0.0,20181110021055.0,21077.0,0.0125,16.5
100,2.0,-11.5,0.9523809523809523,11.5,0.8,141.5,0.9523809523809523,141.5,0.8,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,35.0,1.0,20181110021108.0,21077.0,0.0125,16.5
101,2.0,-11.5,0.9523809523809523,11.5,0.8,141.5,0.8333333333333334,141.5,0.9090909090909091,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,26.0,1.0,20181110021116.0,21077.0,0.0125,16.5
102,2.0,-11.5,0.9523809523809523,11.5,0.8,140.5,0.9090909090909091,140.5,0.8333333333333334,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,17.0,1.0,20181110021125.0,21077.0,0.0125,16.5
103,2.0,-11.5,0.9523809523809523,11.5,0.8,140.5,0.8,140.5,0.9523809523809523,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,9.0,1.0,20181110021134.0,21077.0,0.01,17.0
104,2.0,-11.5,0.9523809523809523,11.5,0.8,140.5,0.7692307692307693,140.5,1.0,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,8.0,1.0,20181110021134.0,21095.0,0.01,17.0
105,2.0,-10.5,0.9523809523809523,10.5,0.8,140.5,0.7692307692307693,140.5,1.0,19.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,4.0,8.0,1.0,20181110021135.0,11077.0,0.02,15.5
106,2.0,-10.5,0.9523809523809523,10.5,0.8,139.5,0.9090909090909091,139.5,0.8333333333333334,17.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,3.0,59.0,1.0,20181110021144.0,11077.0,0.02,15.5
107,2.0,-10.5,0.9523809523809523,10.5,0.8,139.5,0.8695652173913043,139.5,0.8695652173913043,17.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,3.0,58.0,1.0,20181110021144.0,11095.0,0.015151515151515152,16.0
108,2.0,-11.5,0.9523809523809523,11.5,0.8,139.5,0.8695652173913043,139.5,0.8695652173913043,17.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,3.0,58.0,1.0,20181110021145.0,21077.0,0.01,17.0
109,2.0,-11.5,0.9523809523809523,11.5,0.8,138.5,1.05,138.5,0.7407407407407407,17.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,3.0,49.0,1.0,20181110021154.0,21077.0,0.01,17.0
110,2.0,-11.5,0.9523809523809523,11.5,0.8,138.5,0.8333333333333334,138.5,0.9090909090909091,17.0,,9.0,8.0,12.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,56.0,67,0,1,3.0,40.0,1.0,20181110021202.0,21077.0,0.01,17.0
